Ship Name,Ship Type,GRT,Date,U-Boat,Loss Type,Position,Location,Route,Cargo,Casualties
Saint Barchan,Steamer,362,10/21/18,UB 94 (Waldemar Haumann),Sunk,"4 miles off St Johnâs Pt, Co. Down",,Ayr - Dublin,coal,8
St. Bernard,Trawler,186,06/02/17,U 96 (Heinrich JeÃ),Sunk,"Stopped and sunk by gunfire 65 miles NxW of Noup Head, Orkneys",,,,0
St. Clair,Steamer,621,01/19/18,U 101 (Carl-Siegfried Ritter von Georg),Damaged,Shelled 12 miles SSW of Fair Isle,,Leith - Lerwick,general cargo,2
St. Croix,Steamer,2530,12/12/17,U 60 (Franz GrÃ¼nert),Sunk,Torpedoed 13 miles NW of Trevose Head,"50° 49'N, 4° 49'W",GÃ¶teborg - Pasajes,wood pulp,2
St. Dunstan,Dredger,730,09/23/17,UC 21 (Werner von Zerboni di Sposetti),Sunk,Mined 12 NWxW of Portland Bill,,,,2
St. George,Trawler,215,05/02/15,U 41 (Claus Hansen),Sunk,Stopped and sunk 65 miles Ex1/2N of Aberdeen,,,,0
St. Germain,Navy trawler,307,02/26/17,UC 16 (Egon von Werner),Damaged,Mined off Folkestone 510140N 011440E. Beached but repaired and returned to service.,"51° 02'N, 1° 15'E",,,1
St. Gothard,Steamer,2788,09/26/16,U 52 (Hans Walther),Sunk,12 miles NxW of Fair Isle,"59° 41'N, 1° 45'W",Shetlands - Forth,coal,0
St. Helens,Steamer,1497,10/15/17,U 105 (Friedrich Strackerjan),Sunk,100 miles WNW of Cape Villano,"45° 57'N, 11° 19'W",Newport - Algiers,,24
St. Hilda,Trawler,94,09/25/16,U 57 (Carl-Siegfried Ritter von Georg),Sunk,Stopped and sunk 20 miles NE of Scarborough,,,,0
St. Ives,Navy Trawler,325,12/21/16,UC 17 (Ralph Wenninger),Sunk,"Mined off St. Anthony Point, Falmouth","50° 06'N, 5° 00'W",,,11
St. Lawrence,Trawler,196,04/22/15,U 22 (Bruno Hoppe),Sunk,Stopped and sunk 88 miles E1/2N of Spurn LV,"54° 14'N, 3° 02'E",,,2
Saint Leonards,Steamer,4574,11/15/16,UC 26 (Matthias Graf von Schmettow),Damaged,"Mined 400 yards ESE of the Whistling Buoy, Le Havre",,Philadelphia - Le Havre,grain,0
St. Louis No. 1,Trawler,211,05/02/15,U 39 (Walter Forstmann),Sunk,Stopped and sunk 60 miles ExN1/2N of May Island,,,,0
St. Magnus,Passenger steamer,809,02/12/18,UC 58 (Karl Vesper),Sunk,Torpedoed 3 miles NNE of Peterhead,"57° 32'N, 1° 44'W",Lerwick - Aberdeen,"passengers, mail & general cargo",5
St. Margaret,Passenger steamer,943,09/12/17,U 103 (Claus RÃ¼cker),Sunk,"Torpedoed 30 miles SE of Lilie Dimon Island, Faeroe Islands",,Leith - Reykjavik,general cargo,5
St. Mary,Fishing vessel,29,05/30/18,UB 64 (Otto von Schrader),Sunk,Stopped and scuttled 26 miles WNW of the Calf of Man.,,,,0
Saint Mathieu,Navy Trawler,175,01/06/18,U 22 (Hinrich Hermann Hashagen),Sunk,"Sunk by gunfire off Ile dâYeu, Bay of Biscay",,Fishing,,8
St. Michan,Motor fishing vessel,43,03/30/18,U 96 (Heinrich JeÃ),Sunk,Sunk by gunnery 10 miles E of Lambay Island,,,,0
Saint Mirren,Sailing vessel,1956,05/26/17,U 87 (Rudolf Schneider),Sunk,45 miles NW of Inishtrahull,"55° 55'N, 8° 25'W",Clyde - Santos,patent fuel,0
St. Nikolei,Sailing vessel,150,10/05/16,UB 42 (Fritz Wernicke),Sunk,entrence to Karkinit Bay,"45° 55'N, 32° 06'E",,,
St. Olaf,Sailing vessel,277,08/19/15,U 24 (Rudolf Schneider),Sunk,Stoped and sunk 58 miles from Galley Head,"50° 33'N, 8° 29'W","Llanelly - Parrsboro, N.S.",in ballast,0
St. Olive,Trawler,202,08/05/16,UB 39 (Werner FÃ¼rbringer),Sunk,Stopped and sunk 11 miles E of Coquet Island,,,,0
St. Seiriol,Auxiliary minesweeper,928,04/25/18,UC 4 (Ernst Berlin),Sunk,Mined off the Shipwash LV,,,,12
St. Sunniva,Steamer,1140,06/02/17,UC 72 (Ernst Voigt),Sunk,Mined off St. Jean de Luz,"43° 26'N, 1° 41'W",Santander - Sunderland,iron ore,4
Stabil,Steamer,538,03/30/18,U 46 (Leo Hillebrand),Sunk,Torpedoed off the Pendeen LH,"50° 19'N, 5° 36'W",Glasgow - Nantes,coal,9
Staffa,Trawler,176,07/10/16,UB 39 (Werner FÃ¼rbringer),Sunk,Stopped and sunk 45 miles ExN of the Tyne,,,,0
Stairs,Trawler,54,05/14/18,U 22 (Hinrich Hermann Hashagen),Sunk,10 miles N of Vaidaguada,,,,
Staithes,steamer,336,09/21/18,UB 115 (Reinhold Thomsen),Sunk,1.5 miles SExS1/2S of Sunderland,,Port Mulgrave - Tyne,iron ore,4
Stalheim,Steamer,1469,07/01/17,U 49 (Richard Hartmann),Damaged,,"59° 52'N, 1° 10'E",Gothemburg - Hull,timber,
Stalheim,Steamer,1469,07/07/18,UC 52 (Hellmuth von Doemming),Damaged,"in the port of Riposto, Sicily",,,,
Stamfordham,Steamer,921,08/04/16,UB 39 (Werner FÃ¼rbringer),Sunk,8 miles S of Longstone,,Kirkwall - Seaham,in ballast,0
Stampalia,Passenger steamer,9000,08/17/16,UB 47 (Wolfgang Steinbauer),Sunk,30 miles S of Cape Matapan,"36° 40'N, 22° 10'E",Genoa - ?,,
Standard,Sailing vessel,217,01/20/17,UC 17 (Ralph Wenninger),Sunk,Stopped and sunk 13 miles off Portland Bill,,Fowey - Leith,china clay,0
Standish Hall,Steamer,3996,02/04/18,U 33 (Gustav SieÃ),Sunk,38 miles WxN of Alexandria,,Bizerta - Alexandria,"laden, exact cargo unknown",0
Stanhope,Steamer,2854,06/17/17,UB 31 (Thomas Bieber),Sunk,7 miles SWxW of Start Point,"50° 08'N, 3° 45'W",Barrow - Dunkerque,rails,22
Stanley,Steamer,3987,03/21/17,U 24 (Walter Remy),Sunk,Torpedoed 230 miles WxN of Fastnet,"50° 50'N, 16° 00'W",Newport News - Cherbourg,oats & iron,3
Stanley M. Seaman,Sailing vessel,1060,08/05/18,U 140 (Waldemar Kophamel),Sunk,Stopped and scuttled 110 miles E of Cape Hatteras,,New York (or Newport News) - St. Domingo,coal,0
Star,Steamer,818,04/11/17,U 30 (Franz GrÃ¼nert),Sunk,68 miles NW of Fife,,Drammen - Bristol,timber & woodpulp,0
Star Of Bethlehem,Drifter,77,06/24/15,U 38 (Max Valentiner),Sunk,Stopped and sunk by gunnery 40 miles ENE of the Outer Skerries Light,,,,0
HMD Star Of Buchan,Navy Drifter,81,10/20/15,UC 5 (Herbert Pustkuchen),Sunk,Mined off the Nab LV,,,,7
Star Of Freedom,Navy Trawler,258,04/19/17,UC 47 (Paul Hundius),Sunk,Mined off Trevose Head,"50° 35'N, 5° 25'W",,,10
Star Of Peace,Trawler,180,07/22/15,U 36 (Ernst Graeff),Sunk,"Stopped and sunk 114 miles N1/2W of Hoy Island, Orkneys",,,,0
Star Of The Sea,Trawler,197,01/21/17,U 45 (Erich Sittenfeld),Sunk,Stopped and sunk 43 miles NWxW1/2N of Irishtrahull,,,,0
Star Of The West,Trawler,197,06/05/15,U 19 (Constantin Kolbe),Sunk,Stopped and sunk 55 miles NE1/2E of Buchanness,"58° 00'N, 1° 00'W",,,0
Stargard,Steamer,1113,11/15/17,UB 63 (Rudolf Gebeschus),Damaged,Torpedoed 42 miles ExN of Bard Head,,Gothenburg - London,wood pulp and caseboard,
Staro,Steamer,1805,10/19/17,U 22 (Hinrich Hermann Hashagen),Sunk,off the NW coast of Spain,"45° 00'N, 12° 07'W",Dakar - Dunkerque,groundnuts,0
Start,Steamer,728,12/22/17,UB 58 (Werner FÃ¼rbringer),Sunk,4 miles south of St. Albanâs Head,"50° 31'N, 2° 04'W",Swansea - Rouen,coal,12
Statesman,Steamer,6153,11/03/16,UB 43 (Hans von Mellenthin),Sunk,200 miles E of Malta,"36° 00'N, 18° 30'E",Liverpool - Calcutta,general cargo,6
Stathe,Steamer,2623,09/26/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,50 miles ExS of Barcelona at 12:00am,"41° 25'N, 3° 20'E",Cardiff - Livorno,coal,0
HMS Staunch,Destroyer,750,11/11/17,UC 38 (Hans Hermann Wendlandt),Sunk,"Torpedoed at Deir el Belah, Palestine coast",,,,8
Stavnos,Sailing vessel,38,11/05/18,UC 74 (Hans SchÃ¼ler),Sunk,off Egypt,,,,
Steelville,Steamer,3649,01/03/18,UB 50 (Franz Becker),Sunk,20 miles N of Cape Bon,"37° 25'N, 11° 06'E",Barry - Malta,coal & general cargo,0
Stegg,Steamer,463,04/23/17,UC 41 (Kurt Bernis),Sunk,60 miles E of Lerwick,"60° 41'N, 0° 37'E",Arendal - Tyne,pitprops,1
Stenimachos,steamer,1175,01/22/17,UC 21 (Reinhold Saltzwedel),Sunk,off La Coubre LH,"45° 40'N, 1° 30'W",Algiers - Bordeaux,,0
Stella,Sailing vessel,219,10/03/17,U 60 (Karlgeorg Schuster),Sunk,Stopped and sunk by gunnery in the Bay of Biscay.,"47° 30'N, 9° 40'W",Newfoundland - St. Malo,fish,10
Stella Del Mare,Sailing vessel,1166,08/29/16,U 38 (Max Valentiner),Sunk,Stopped and sunk 25 miles NW of Majorca,,Baltimore - Genoa,,
Stemshest,Steamer,811,10/27/16,UB 35 (Otto von Schrader),Sunk,,"56° 28'N, 3° 15'E",GÃ¶teborg - Hull,steel & timber,0
Sten,steamer,1046,10/17/16,UB 35 (Otto von Schrader),Sunk,N of Farn Island,"57° 00'N, 4° 02'E",Skien - London via Grimsby,general cargo,0
Sten Ii,Steamer,227,06/03/17,UC 58 (Karl Vesper),Sunk,Stopped and sunk by opening the scuttles in the Gulf of Bothnia,,,,
Stephano,Passenger steamer,3449,10/08/16,U 53 (Hans Rose),Sunk,2.5 miles ENE of the Nantucket LV,,"St. Johnâs, Newfoundland. - New York",general cargo and passengers,0
Hackensack,Steamer,4060,04/25/17,U 82 (Hans Adam),Sunk,"180 miles NWxW of Fastnet. 52.06N, 14.00W per KTB","51° 40'N, 14° 23'W",Cienfuegos via Halifax - Queenstown,sugar,6
HMS Stephen Furness,Armed boarding steamer,1712,12/13/17,UB 64 (Walter Gude),Sunk,Torpedoed W of the Isle of Man,,,,101
Sterna Iii,Fishing vessel (sail),111,07/27/17,UC 16 (Georg Reimarus),Sunk,Stopped and sunk 19 miles WNW of Ymuiden,,,,0
Sterne,Sailing vessel,108,04/06/18,U 19 (Johannes SpieÃ),Sunk,"Stopped 60 miles off Jaederen. It intent was to sink the Sterne, however, U 19 lost sight of her and she eventually stranded on the rocks of Utsera and became a total loss. ",,Stavanger - Helsingborg,in ballast,0
Sterope,Steamer,9500,04/07/18,U 155 (Erich Eckelmann),Sunk,Surrendered after a gunnery battle off the Azores and then scuttled,"38° 44'N, 18° 09'W",,naphtha,
Stettin,Steamer,412,12/05/16,U 58 (Kurt Wippern),Sunk,Stopped and scuttled 48 miles SW3/4W of SlotterÃ¸,"59° 20'N, 3° 49'E",Bergen â Newcastle,general cargo,0
Stifinder,Sailing vessel,1745,10/14/18,U 152 (Adolf Franz),Sunk,,"37° 42'N, 53° 41'W",New York - Freemantle,case oil,0
Stina,Steamer,1136,03/02/18,U 22 (Hinrich Hermann Hashagen),Sunk,"Stopped and sunk by gunnery and a torpedo 8 miles NxE of the Cairns of Coll, Argyllshire","56° 48'N, 6° 30'W",Glasgow - GÃ¶teborg,coal,0
Stirling Castle,,271,09/26/16,,Sunk,Mined west coast of Malta,,,,
Stjerneborg,Steamer,1592,04/06/16,U 39 (Walter Forstmann),Sunk,S of Sardinia,"38° 54'N, 9° 15'E",Dunston - Bagnoli,coal,0
Stock Force,Q ship,732,07/30/18,UB 80 (Max Viebeg),Sunk,"25 miles W of Start Point but sank off Bolt Tail, Bigbury Bay","49° 49'N, 3° 53'W",,,
Stoic,Steam Trawler,200,07/10/17,U 53 (Hans Rose),Sunk,Stopped and sunk 60 miles SxE from Sydero or 55 miles SxW of south point of SuderÃ¶,,,,0
Stolt Nielsen,Steamer,5684,03/11/18,k.u.k. U28 (Zdenko Hudecek),Sunk,"38 miles S1/2E of Dellimara Point, Malta","35° 10'N, 14° 40'E",Taranto - Malta,general cargo,0
Storaas,Steamer,3041,03/14/17,UC 29 (Ernst Rosenow),Sunk,160 miles SW of Lister off Norwegian coast,"55° 30'N, 2° 55'E",Moss - Tyne,in ballast,0
Storebelt,Steamer,599,04/28/17,UC 79 (Erich Haecker),prize,Skagerrak,,,,
Storebelt,Steamer,599,07/08/17,UC 79 (Erich Haecker),prize,Skagerrak,,,,
Storegut,Sailing vessel,2557,06/13/17,U 82 (Hans Adam),Sunk,Stopped and sunk by gunnery 235 miles SW of Landâs End,"48° 23'N, 10° 28'W",Philadelphia - Le Havre,oil and paraffin wax,0
Storenes,Sailing vessel,1870,03/01/17,UC 43 (Erwin Sebelin),Sunk,Stopped and scuttled SW of Kinsale,,Buenos Aires â Queenstown (for orders),maize,0
Storesand,Sailing vessel,1639,09/04/15,U 33 (Konrad Gansser),Sunk,off Fastnet,"49° 09'N, 11° 44'W",Iquique â Liverpool,nitrtate,0
Stork,Trawler,152,04/13/17,UC 41 (Kurt Bernis),Sunk,Stopped and scuttled 20 miles E1/2S of St. Abbâs Head,,,,0
Storskog,Sailing vessel,2191,02/07/17,U 60 (Karlgeorg Schuster),Sunk,Stopped and sunk 70 miles SW of Fastnet,,Buenos Aires - Queenstown,maize,0
Storstad,Steamer,6028,03/08/17,U 62 (Ernst Hashagen),Sunk,45 miles WSW of Fastnet,"51° 20'N, 11° 50'W",Buenos Aires - Rotterdam,maize,3
Stralsund,steamer,510,02/15/17,U 78 (Otto DrÃ¶scher),Sunk,Stopped and sunk W of St. Kilda,,Iceland - Genoa (via Troon),fish,0
Strathalbyn,Steamer,4331,12/10/16,UC 26 (Matthias Graf von Schmettow),Sunk,Mined 2 miles NE of Cherbourg,,New York - Le Havre,general cargo,0
Strathallan,Steamer,4404,09/02/16,U 38 (Max Valentiner),Sunk,"20 miles NE of Philippeville, Algeria","37° 10'N, 7° 10'E",Augusta - Barry,in ballast,0
Strathbran,Trawler,163,06/03/15,U 19 (Constantin Kolbe),Sunk,Stopped and sunk 35 miles ESE of Pentland Skerries,,,,0
Strathcarron,Steamer,4347,06/08/15,U 35 (Waldemar Kophamel),Sunk,Torpedoed 60 miles W of Lundy Island,"51° 50'N, 6° 10'W",Barry - ?,coal,0
Strathcona,Steamer,1881,04/13/17,U 78 (Otto DrÃ¶scher),Sunk,145 miles WNW of Ronaldsay,"59° 35'N, 5° 49'W",Tyne - Marseille,coal,9
Strathdene,Steamer,4321,10/08/16,U 53 (Hans Rose),Sunk,20 miles SE of the Nantucket LV,,New York - Bordeaux,general cargo,0
Strathmore,Trawler,163,07/24/15,U 36 (Ernst Graeff),Sunk,Stopped and sunk 60 miles NxW from the Butt of Lewis,,,,0
Strathnairn,Steamer,4336,06/15/15,U 22 (Bruno Hoppe),Sunk,Torpedoed 2 miles W of Ramsey Island or 25 miles NxE from Bishops & Clerks,"50° 16'N, 6° 37'W",Penarth - Archangelsk,coal,21
HMT Strathrannoch,Navy Trawler,215,04/06/17,UC 31 (Otto von Schrader),Sunk,Mined off St. Abbs Head,"55° 55'N, 2° 07'W",,,13
Strathtay,Steamer,4428,09/06/16,UB 39 (Werner FÃ¼rbringer),Sunk,"4 miles N of Pontsuval, Brittany","48° 47'N, 4° 25'W",New York - Havre,general cargo,0
Straton,Trawler,198,05/05/15,U 9 (Johannes SpieÃ),Sunk,Stopped and sunk by opening the seacocks 40 miles E of Hartlepool,,,,0
Streymoy,Fishing vessel,81,05/23/17,UC 33 (Martin Schelle),Sunk,Stopped and sunk off the Faroe bank,,,,0
Strive,Fishing vessel (smack),63,07/30/15,UB 10 (Otto Steinbrinck),Sunk,Stopped and scuttled 35 miles ExN of Lowestoft,,,,0
Stromboli,Steamer,5466,04/13/17,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,50 miles W of Cape Spartel,,Norfolk - Genoa,,
Strombus,Tanker,6163,06/04/18,UC 20 (Heinrich Kukat),Damaged,,"33° 10'N, 15° 58'E",Marseille - Port Said,"boxwood, war material and empty drums",2
Strumble,Fishing vessel (smack),45,05/04/17,UC 65 (Otto Steinbrinck),Sunk,Stopped and scuttled 10 miles NNE of Strumble Head,,,,0
HMT Strymon,Navy Trawler,198,10/27/17,UC 11 (Karl Dobberstein),Sunk,Mined off the Shipwash LV,"51° 37'N, 0° 48'E",,,11
Stryn,Steamer,2143,06/10/18,UB 80 (Max Viebeg),Sunk,5 miles E of Berry Head,,Rouen - Barry,in ballast,8
Stuart Prince,Steamer,3597,03/22/17,U 66 (Thorwald von Bothmer),Sunk,"Torpedoed 85 miles NxW of Broad Haven, Mayo co","55° 28'N, 11° 20'W",Manchester - Alexandria,general cargo,20
Stura,steamer,2237,05/17/16,k.u.k. U15 (Friedrich FÃ¤hndrich),Sunk,"Adriatic, 17 miles east of Brindisi","40° 47'N, 19° 00'E",,,0
Sturton,Steamer,4406,02/07/18,UB 48 (Wolfgang Steinbauer),Sunk,15 miles SExE1/4E of Porquerolles Island,"42° 54'N, 6° 30'E",Baltimore - Genoa,steel & oats,0
Stylianos,Sailing vessel,389,06/10/17,UC 74 (Wilhelm Marschall),Sunk,Malta-Port Said route,,,,
Stylinai Bebis,Steamer,3603,11/12/16,U 50 (Gerhard Berger),Sunk,150 miles N of Cape Finisterre,"45° 20'N, 7° 30'W",Rosario - Falmouth,grain,
Subadar,Steamer,4911,07/27/18,U 43 (Johannes Kirchner),Sunk,"Torpedoed 112 miles NxW of Cape da Roca, Portugal","40° 26'N, 10° 39'W",London - Port Said,general cargo,3
Subra,Sailing vessel,580,07/22/16,UB 37 (Hans Valentiner),Sunk,E of Hartlepool,"54° 45'N, 0° 00'E",Porsgrund â West Hartlepool,pitprops,0
Success,Fishing vessel,6,07/13/16,UB 39 (Werner FÃ¼rbringer),Sunk,13 miles NxE  of Whitby,,,,
Suchan,Steamer,3781,10/06/16,U 48 (Berndt BuÃ),prize,captured off North Cape and sent to W\'haven,,,,0
Suffolk,Steamer,7573,12/28/16,UC 16 (Egon von Werner),Damaged,Mined 6 to 7 miles S60Â°E of the Owers LV,,London - Devonport,government stores,0
Suffolk  Coast,Steamer,780,11/07/16,UC 17 (Ralph Wenninger),Sunk,Stop and scuttled 14 miles ESE of Cape Barfleur,,Glasgow - FÃ©camp,general cargo,0
Suffren,Battleship,12750,11/25/16,U 52 (Hans Walther),Sunk,90 miles W of Portugal,"39° 10'N, 10° 48'W",,,648
Sully,Sailing vessel,2649,03/16/17,UC 47 (Paul Hundius),Sunk,Stopped and scuttled 15 miles W of Ushant,,Bahia Blanca - Brest,wheat,0
Summerfield,Steamer,687,08/13/15,UC 5 (Herbert Pustkuchen),Sunk,Mined 2 miles E of Lowestoft,,"Yarmouth - Douglas, I.o.M.",wooden huts,3
Sunbeam,Sailing vessel,132,07/04/15,U 25 (Otto WÃ¼nsche),Sunk,Stopped and sunk by gunnery 16 miles E of Wick,,Leith - Kirkwall,coal,0
Sunflower,Fishing vessel (smack),60,08/12/15,UB 5 (Wilhelm Smiths),Sunk,Stopped and scuttled 30 miles ExN of Lowestoft,,,,0
Sunik,Tanker,5017,04/09/18,UC 52 (Hellmuth von Doemming),Damaged,Torpedoed N of Messina harbor,"38° 13'N, 15° 35'E",Naples - Palermo,oil,0
Sunlight,Sailing vessel,1433,06/06/15,U 35 (Waldemar Kophamel),Sunk,Stopped and sunk 20 miles SW of Galley Head,,Macoris - Glasgow,molasses,0
Sunniside,Steamer,447,11/09/16,UC 4 (Hans Howaldt),Sunk,Mined 4 miles ENE of Southwold,,Hull - Rotterdam,general cargo,4
Sunniva,Steamer,1913,06/28/18,UC 17 (Nikolaus von Lyncker),Sunk,4 miles E of Sunderland,,London - Tyne,in ballast,2
Sunray,Trawler,165,05/02/15,U 39 (Walter Forstmann),Sunk,Stopped and sunk 56 miles NNE of Longstone,,,,0
Sunrise,Fishing vessel (smack),56,03/10/18,UC 75 (Walter Schmitz),Sunk,Stopped and scuttled 10 miles SE of Maughold Head (Isle of Man),,,,0
Sunshine,Trawler,185,09/24/16,U 57 (Carl-Siegfried Ritter von Georg),Sunk,Stopped and sunk 20 miles NE of Scarborough,,,,0
Suntrap,Steamer,1353,11/07/17,UB 22 (Karl Wacker),Sunk,"2.5 miles E of South Cheek, Robin Hood Bay",,Tyne - London,coal,0
Superb,Sailing vessel,1515,06/07/15,U 34 (Claus RÃ¼cker),Sunk,50 miles W of Fastnet,"51° 15'N, 10° 45'W",Buenos Aires â Queenstown,grain,0
Surada,Steamer,5324,11/02/18,UC 74 (Hans SchÃ¼ler),Sunk,Off Port Said,"31° 34'N, 32° 21'E",Karachi - Marseille,rice & gunnies,0
Surcouf,Sailing vessel,195,04/18/17,UC 26 (Matthias Graf von Schmettow),Sunk,"off Ile Vierge, Brittany",,Swansea - Lorient,,0
Surprise,Gunboat,680,12/03/16,U 38 (Max Valentiner),Sunk,Torpedoed in Funchal Roads,,,,
Suruga,Steamer,4374,12/20/17,UB 49 (Hans von Mellenthin),Damaged,1 miles fromm shore near San Remo,,Genoa - Marseilles,,0
Susanna,Steamer,442,03/22/17,UC 45 (Hubert Aust),Sunk,Scuttled 6 miles SExS1/2S of Aberdeen,"57° 04'N, 1° 54'W",Haugesund - Hull,herrings,0
Susannah,Sailing vessel,115,06/08/15,U 35 (Waldemar Kophamel),Sunk,Stopped and scuttled 40 miles SSW of Smalls,"50° 55'N, 5° 35'W",Preston - Truro,coal,0
Susie,Fishing vessel (smack),41,08/17/17,UC 16 (Georg Reimarus),Sunk,10 miles NExE of Scarborough,,,,1
Sussex,Passenger steamer,1353,03/24/16,UB 29 (Herbert Pustkuchen),Damaged,Torpedoed and very seriously damaged 18 miles W by N of Boulogne,,Folkestone - Dieppe,passengers,50
Sutherland,Steamer,3542,01/17/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,192 miles SExE of Malta,"34° 43'N, 18° 08'E",Bombay - Hull,manganese ore & seeds,1
Sutterton,Trawler,160,04/15/17,UC 44 (Kurt Tebbenjohanns),Sunk,Stopped and sunk 65 miles ESE of St. Abbâs Head.,"55° 45'N, 0° 15'W",,,1
Sutton,Trawler,332,07/23/15,U 36 (Ernst Graeff),Sunk,60 miles NxW of Hoy,,,,0
Suzette Fraissinet,Steamer,2288,05/11/18,UB 52 (Otto Launburg),Sunk,37 miles south of Cape Spartivento,,Tunis & Bizerta - Gibraltar,,0
Svanen,Sailing vessel,1807,04/23/17,U 60 (Karlgeorg Schuster),Sunk,Stopped and sunk 30 miles WNW of Muckle Flugga,,Baltimore - Aarhus,maize,2
Svanfos,Steamer,896,02/03/18,UB 72 (Walter Creutzfeldt),Sunk,W of the Orkneys,"59° 12'N, 3° 55'W",Liverpool - Skien,soda ash,0
Svanholm,Steamer,1400,08/16/17,U 94 (Alfred SaalwÃ¤chter),Sunk,"Torpedoed. Or 60.10W, 01.53E per KTB","60° 16'N, 2° 25'E",GÃ¶teborg - Tyne,pitprops,0
Svartvik,Sailing vessel,322,10/20/16,UB 21 (Ernst Hashagen),Sunk,Stopped and sunk in the North Sea,,Holmestrand - West Hartlepool,pit props,0
Svein Jarl,Steamer,1135,06/09/15,U 19 (Constantin Kolbe),Sunk,75 miles NE of Longstone,"56° 40'N, 0° 40'W",Warkworth - Kirkenes,coal,12
Svendsholm,Sailing vessel,1998,03/22/17,U 24 (Walter Remy),Sunk,Stopped and sunk by gunnery well W of Fastnet,"50° 34'N, 15° 45'W",Londonderry â St. Thomas,in ballast,0
Sverige,Steamer,1602,08/13/15,UC 5 (Herbert Pustkuchen),Sunk,Mined 1.5 miles SE of Lowestoft,,Sundsvall - London,timber,0
Sverre  Ii,Fishing vessel,44,06/08/17,U 28 (Georg Schmidt),Sunk,Stopped and scuttled NE of VardÃ¶,"71° 00'N, 36° 00'E",,,0
Sverresborg,Steamer,1144,08/18/15,U 27 (Bernd Wegener),Sunk,8 miles off Trevose Head,"50° 50'N, 5° 10'W",Barry - Le Havre,coal,0
St. Feodor,Sailing vessel,126,03/10/17,U 53 (Hans Rose),Damaged,15 miles SSE of Ballycotton - damaged by gunfire,"51° 45'N, 7° 45'W",,,
Svorono,Steamer,3102,04/30/15,U 30 (Erich von Rosenberg-Grusczyski),Sunk,"14 miles W of the Blaskets, SW coast of Ireland",,Port Talbot - Archangelsk,coal,
Swan River,Steaner,4724,09/27/17,U 39 (Walter Forstmann),Sunk,Torpedoed 27 miles NNW of Oran,"36° 07'N, 0° 54'W",Gibraltar - Benisaf,in ballast,0
Swanmore,Steamer,6373,04/25/17,U 50 (Gerhard Berger),Sunk,"Torpedoed 230 miles WNW of Fastnet. 51.30N, 15.15W per KTB","51° 11'N, 15° 37'W",Baltimore - Liverpool,general cargo,11
Swedish Prince,Steamer,3712,08/17/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,12 miles NWxW of Pantelleria Island,"36° 54'N, 11° 42'E",Salonica - Bizerta,in ballast,1
Swift Wings,Steamer,4465,09/01/16,U 38 (Max Valentiner),Sunk,18 miles E of Cape Bengut,,Cardiff - ?,coal & petrol,2
Swiftsure,Steamer,823,09/09/17,UC 40 (Hermann Menzel),Sunk,"Mined Shapinsay Sound, Orkney Islands",,Arendal - Sunderland,deals & battens,1
Sycamore,Steamer,6550,08/25/17,UB 61 (Theodor Schultz),Sunk,125 miles NW of Tory Island,,Baltimore - Liverpool,general cargo,11
Sydkap,Fishing vessel,40,06/05/17,U 28 (Georg Schmidt),Sunk,Stopped and scuttled NNE of VardÃ¶,"71° 52'N, 35° 49'E",,,0
Sydney,Steamer,2695,01/14/17,U 48 (Berndt BuÃ),Sunk,Sunk by gunfire 90 miles NW of Cape Villano,"44° 13'N, 10° 41'W",Cardiff - Bone,coal,0
Sydney B. Atwood,,100,08/03/18,U 156 (Richard Feldt),Sunk,30 miles off Seal island,,,,
Sylfiden,Sailing vessel,796,04/11/17,U 30 (Franz GrÃ¼nert),Sunk,about 50 miles NxW of Holmengraa,,Buenos Aires â Flekkefjord via Stornoway,quebracho,0
Sylvania,Fishing vessel (sail),136,08/21/18,U 156 (Richard Feldt),Sunk,"Stopped and scuttled by Triumph 90 miles SE of Cape Canso, Nova Scotia",,fishing,,0
Sylvanian,Steamer,4858,06/24/17,U 94 (Alfred SaalwÃ¤chter),Sunk,"170 miles NW of Tory Island. 56.12N, 12.56W per KTB","56° 27'N, 12° 57'W",Liverpool - St. Thomas,general cargo,2
Sylvia,Sailing vessel,148,06/13/17,U 62 (Ernst Hashagen),Sunk,70 miles W of Olmestad,,Blyth - Stavanger,coal,0
Sylvie,Steamer,2591,01/25/17,U 38 (Max Valentiner),Sunk,Torpedoed 190 miles SW of Cape Matapan,"36° 00'N, 18° 50'E",Bizerte-Salamis,coal (3800 t.),2
Symra,Steamer,3005,06/12/17,UC 53 (Kurt Albrecht),Sunk,"off the Portuguese coast, 5 miles SW of Huelva",,Liverpool - Gibraltar,coal,0
Syrian,Trawler,176,07/11/15,U 25 (Otto WÃ¼nsche),Sunk,Stopped and sunk 45 miles ENE of Hornsea,,,,0
Szechuen,Steamer,1862,05/10/18,UB 51 (Ernst Krafft),Sunk,60 miles NxE1/2E Port Said,"32° 00'N, 32° 46'E",Famagusta - Port Said,general cargo,9
SÃ¸rland,Steamer,2472,05/30/17,UC 21 (Reinhold Saltzwedel),Sunk,,"46° 11'N, 8° 20'W",St. Nazaire - Baltimore,in ballast,0
